product_itemid,product_shopid,product_links,shop_review_links,image_links,shop_profile_links
3387185380,40841188,https://shopee.ph/XiaozhainvSunscreenKnittedCardiganWomenLooseLongsleevedShortTop-i.40841188.3387185380,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=3387185380&limit=50&offset=0&shopid=40841188&type=0,https://cf.shopee.ph/file/864c01512a1d7c57e172894d78da3108,https://shopee.ph/api/v4/product/get_shop_info?shopid=40841188
9365025903,449754824,https://shopee.ph/BTGNewDesignShortTopKoreanStyleSlimLongsleevedTshirtFemaleIns-i.449754824.9365025903,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9365025903&limit=50&offset=0&shopid=449754824&type=0,https://cf.shopee.ph/file/5069a62a85afbd220c6d77551016812f,https://shopee.ph/api/v4/product/get_shop_info?shopid=449754824
9068884498,273094218,https://shopee.ph/WomensLongSleeveShirtVintagePoloFloralPrintShirts-i.273094218.9068884498,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9068884498&limit=50&offset=0&shopid=273094218&type=0,https://cf.shopee.ph/file/d05aaf4d600e5f39c0069e32e05b7be0,https://shopee.ph/api/v4/product/get_shop_info?shopid=273094218
11027597290,494426915,https://shopee.ph/KoreanVneckLongsleevedShirtRuffledSlimFashionTopWomenBlouse-i.494426915.11027597290,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=11027597290&limit=50&offset=0&shopid=494426915&type=0,https://cf.shopee.ph/file/dda3ba6d32acee0850e7e064f628d0ca,https://shopee.ph/api/v4/product/get_shop_info?shopid=494426915
2840385666,178686678,https://shopee.ph/MyChicPickBEATop-i.178686678.2840385666,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=2840385666&limit=50&offset=0&shopid=178686678&type=0,https://cf.shopee.ph/file/a7dbfa4ef08958938cb3d103f3208d8a,https://shopee.ph/api/v4/product/get_shop_info?shopid=178686678
11730378172,442819322,https://shopee.ph/WomensRoundNeckStripedShirtKoreanStyleLooseThreequarterSleeveDollShirtTopWomen-i.442819322.11730378172,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=11730378172&limit=50&offset=0&shopid=442819322&type=0,https://cf.shopee.ph/file/236476fb6ea2f2f2fc8d17fb839519e0,https://shopee.ph/api/v4/product/get_shop_info?shopid=442819322
9556584817,38991357,https://shopee.ph/Koreanstyleretroshirtpersonalityshirtallmatchthinprintblouse-i.38991357.9556584817,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9556584817&limit=50&offset=0&shopid=38991357&type=0,https://cf.shopee.ph/file/b9b95528709ce1452f94f14d2387b95a,https://shopee.ph/api/v4/product/get_shop_info?shopid=38991357
9948066587,86411248,https://shopee.ph/EmilyLongsleeveFloralStringRuchedTrendyTop-i.86411248.9948066587,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9948066587&limit=50&offset=0&shopid=86411248&type=0,https://cf.shopee.ph/file/aebdc0499ed98ee51ee5cef99b61c022,https://shopee.ph/api/v4/product/get_shop_info?shopid=86411248
11628889900,279482621,https://shopee.ph/CottonPlaidShirtWomen2021SpringandAutumnNewStyleKoreanLooseLongsleevedRetroHongKongstyleForeignStudentJacket-i.279482621.11628889900,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=11628889900&limit=50&offset=0&shopid=279482621&type=0,https://cf.shopee.ph/file/24ca440aee02f14e254c25d3d3206ca0,https://shopee.ph/api/v4/product/get_shop_info?shopid=279482621
9639463784,417317962,https://shopee.ph/Newfashionshirtwomensautumnandwinternewlongsleevedshirttops-i.417317962.9639463784,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9639463784&limit=50&offset=0&shopid=417317962&type=0,https://cf.shopee.ph/file/d5f67eff6db55b9c0a085cd303aaad60,https://shopee.ph/api/v4/product/get_shop_info?shopid=417317962
6862114509,36637203,https://shopee.ph/OversizedTopPlusSizeKoreannewestFashioncartoonWomenTopsBasicTeecasual-i.36637203.6862114509,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=6862114509&limit=50&offset=0&shopid=36637203&type=0,https://cf.shopee.ph/file/cee21f3bb9b3fbca43b549d2fff92186,https://shopee.ph/api/v4/product/get_shop_info?shopid=36637203
4996843891,420881087,https://shopee.ph/PlusSizeBlouseCottonWomenCasualLongsleevedTshirtKoreanStyleVneckAllmatchBlouseTops-i.420881087.4996843891,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=4996843891&limit=50&offset=0&shopid=420881087&type=0,https://cf.shopee.ph/file/079070cd0abfc3e75ed014c3efd4769d,https://shopee.ph/api/v4/product/get_shop_info?shopid=420881087
10930281262,483117715,https://shopee.ph/TTKoreanKnitwearSquareCollarSolidColorStitchingChiffonSleeveKnitwearTopsWomensTrendyKnitwear-i.483117715.10930281262,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=10930281262&limit=50&offset=0&shopid=483117715&type=0,https://cf.shopee.ph/file/3cc032b966feeeb313d8bab25075afbb,https://shopee.ph/api/v4/product/get_shop_info?shopid=483117715
6769554609,325618926,https://shopee.ph/RetroFloralBlouseSquareCollarChiffonShirtLongSleeveTops-i.325618926.6769554609,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=6769554609&limit=50&offset=0&shopid=325618926&type=0,https://cf.shopee.ph/file/b8b559e6196073f329b87f15321c870b,https://shopee.ph/api/v4/product/get_shop_info?shopid=325618926
9768882713,273094218,https://shopee.ph/WomenLongSleeveShirtsPoloCollarRetroPrintShirt-i.273094218.9768882713,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9768882713&limit=50&offset=0&shopid=273094218&type=0,https://cf.shopee.ph/file/7bf2b884e31e19551209849342d079d6,https://shopee.ph/api/v4/product/get_shop_info?shopid=273094218
8318443654,390661481,https://shopee.ph/CODShortsleevedfashionshirtwomenslooseandthinTshirttops-i.390661481.8318443654,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=8318443654&limit=50&offset=0&shopid=390661481&type=0,https://cf.shopee.ph/file/e8c9f2eb6dee2866cf0a79f6e77c6c46,https://shopee.ph/api/v4/product/get_shop_info?shopid=390661481
9380643749,490592098,https://shopee.ph/KKKoreanBoutiqueTrendyNewDesignLooseShirt-i.490592098.9380643749,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9380643749&limit=50&offset=0&shopid=490592098&type=0,https://cf.shopee.ph/file/501899511f4faaf2478c8d6a0b750c7a,https://shopee.ph/api/v4/product/get_shop_info?shopid=490592098
11314264537,151149464,https://shopee.ph/M5XLBlouseWomensLongSleevePlaidofLooseBigYardsOversizedBlouse-i.151149464.11314264537,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=11314264537&limit=50&offset=0&shopid=151149464&type=0,https://cf.shopee.ph/file/795aea97fb00cd7850487481fa9548b6,https://shopee.ph/api/v4/product/get_shop_info?shopid=151149464
2943967262,219216737,https://shopee.ph/WomensNewLooseBlouseLongSleeveVintagePlainShirtPlusSize-i.219216737.2943967262,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=2943967262&limit=50&offset=0&shopid=219216737&type=0,https://cf.shopee.ph/file/13c38b1c8f416a9e76db23a0ccfbb29f,https://shopee.ph/api/v4/product/get_shop_info?shopid=219216737
6559163838,149205620,https://shopee.ph/TaisenKoreanstylefashionablecasualshirtwithpleatedsleeves-i.149205620.6559163838,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=6559163838&limit=50&offset=0&shopid=149205620&type=0,https://cf.shopee.ph/file/cbfe56434731fc788ff66a838ff6124c,https://shopee.ph/api/v4/product/get_shop_info?shopid=149205620
