,product_itemid,product_shopid,product_links,shop_review_links,image_links,shop_profile_links
222,7186930309,259027993,https://shopee.ph/koreanprelovedwhitetopbundles-i.259027993.7186930309,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=7186930309&limit=50&offset=0&shopid=259027993&type=0,https://cf.shopee.ph/file/ad6a27ce856ffbaa7fd5c19aae360f8c,https://shopee.ph/api/v4/product/get_shop_info?shopid=259027993
223,10417378256,324938724,https://shopee.ph/TshirtwomensnewKoreanstyletemperamentbottomingflorallongsleevedstitchingsweaterwomen-i.324938724.10417378256,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=10417378256&limit=50&offset=0&shopid=324938724&type=0,https://cf.shopee.ph/file/f4bd571a9138c2c824dff5c0261c90f2,https://shopee.ph/api/v4/product/get_shop_info?shopid=324938724
224,6580193656,46399675,https://shopee.ph/AUTUMNKoreanLettuceLongsleevesTop-i.46399675.6580193656,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=6580193656&limit=50&offset=0&shopid=46399675&type=0,https://cf.shopee.ph/file/bacce9353e3248e7ede8eb12cfb53f71,https://shopee.ph/api/v4/product/get_shop_info?shopid=46399675
225,9450508758,64360491,https://shopee.ph/Koreanwomensoneshoulderelasticpleatedtulletop-i.64360491.9450508758,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9450508758&limit=50&offset=0&shopid=64360491&type=0,https://cf.shopee.ph/file/cfc9ff1a0665fcd37e90d031779c8b38,https://shopee.ph/api/v4/product/get_shop_info?shopid=64360491
226,7072637661,39898577,https://shopee.ph/ClassicKnittedLongsleeveBlouseKoreanTophighquality-i.39898577.7072637661,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=7072637661&limit=50&offset=0&shopid=39898577&type=0,https://cf.shopee.ph/file/5be19fb1b14b70e5de8d5cd0389c03b8,https://shopee.ph/api/v4/product/get_shop_info?shopid=39898577
227,8354235269,46550151,https://shopee.ph/KOREANPOLOBLOUSES202FREE-i.46550151.8354235269,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=8354235269&limit=50&offset=0&shopid=46550151&type=0,https://cf.shopee.ph/file/55bb06bb68621d1911432e8fc6a370cb,https://shopee.ph/api/v4/product/get_shop_info?shopid=46550151
228,4158976259,16590993,https://shopee.ph/NewKoreanLongsleevetop-i.16590993.4158976259,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=4158976259&limit=50&offset=0&shopid=16590993&type=0,https://cf.shopee.ph/file/9e946276bde5c84c3a59d3948b17eff0,https://shopee.ph/api/v4/product/get_shop_info?shopid=16590993
229,4315596667,35044762,https://shopee.ph/RRXKoreanPolotop-i.35044762.4315596667,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=4315596667&limit=50&offset=0&shopid=35044762&type=0,https://cf.shopee.ph/file/4be0a82a48eb43b6747d892a6cb71670,https://shopee.ph/api/v4/product/get_shop_info?shopid=35044762
230,3463840566,126018720,https://shopee.ph/CODReadyStockWomensKoreanTopPuffSleevecropTopDrawstringCropTopsSquareNeckBlousesCroptopTops-i.126018720.3463840566,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=3463840566&limit=50&offset=0&shopid=126018720&type=0,https://cf.shopee.ph/file/6b8905d85e4da99c58f46c182ca3831d,https://shopee.ph/api/v4/product/get_shop_info?shopid=126018720
231,8968569148,467411881,https://shopee.ph/Womenssexyfashionsmallshreddedflowershortlongsleevedhornsleevetopbow-i.467411881.8968569148,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=8968569148&limit=50&offset=0&shopid=467411881&type=0,https://cf.shopee.ph/file/b05ab4dbf14621e53415e773bf771089,https://shopee.ph/api/v4/product/get_shop_info?shopid=467411881
232,6887207508,10377223,https://shopee.ph/ROKoreanChiffonCardiganFashionWomenLongSleeveThinBlouseSunProtectionButtonTop-i.10377223.6887207508,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=6887207508&limit=50&offset=0&shopid=10377223&type=0,https://cf.shopee.ph/file/38ac876da4c45e2687c01bb8c3569163,https://shopee.ph/api/v4/product/get_shop_info?shopid=10377223
233,9714996854,36222507,https://shopee.ph/KoreanStyleCropTopslongsleeveKnittedSweater-i.36222507.9714996854,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9714996854&limit=50&offset=0&shopid=36222507&type=0,https://cf.shopee.ph/file/20b55e1f32837364b056f83c1364547b,https://shopee.ph/api/v4/product/get_shop_info?shopid=36222507
234,5633622200,125534764,https://shopee.ph/KoreanFashionLongSleeveKnittedBlouseTopsColorPuzzleStyleCasualBlouse-i.125534764.5633622200,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=5633622200&limit=50&offset=0&shopid=125534764&type=0,https://cf.shopee.ph/file/c4d3d4f1bbab393a27ed722b54dc1201,https://shopee.ph/api/v4/product/get_shop_info?shopid=125534764
235,6777399842,365058565,https://shopee.ph/OnlyYouthclassicknittedLongsleevesBlouseKoreanTop-i.365058565.6777399842,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=6777399842&limit=50&offset=0&shopid=365058565&type=0,https://cf.shopee.ph/file/b7dbfcf98de78757522d5ec99d1e4928,https://shopee.ph/api/v4/product/get_shop_info?shopid=365058565
236,9800384211,225905477,https://shopee.ph/TRENDYCLOTHESVINTAGESTOPSPLAIDFLANNELKOREANOUTFIT-i.225905477.9800384211,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9800384211&limit=50&offset=0&shopid=225905477&type=0,https://cf.shopee.ph/file/6802a693df0da63149c75ffd405e6e29,https://shopee.ph/api/v4/product/get_shop_info?shopid=225905477
237,9459609554,301026018,https://shopee.ph/KoreanStyleDaintyTopsforcristelseulily-i.301026018.9459609554,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=9459609554&limit=50&offset=0&shopid=301026018&type=0,https://cf.shopee.ph/file/794e85e9f73033a6c1589c5b4cca982e,https://shopee.ph/api/v4/product/get_shop_info?shopid=301026018
238,8015433573,177084026,https://shopee.ph/PrelovedKoreanFashionBlouseTopsExcellentUsedConditionforWomen-i.177084026.8015433573,https://shopee.ph/api/v2/item/get_ratings?filter=0&flag=1&itemid=8015433573&limit=50&offset=0&shopid=177084026&type=0,https://cf.shopee.ph/file/9a775c4d0fccfe2cde49bdf4ce5b8a95,https://shopee.ph/api/v4/product/get_shop_info?shopid=177084026
