cmtid,itemid,shopid,author_username,comment,rating_star,no_tag,pos_good_quality,pos_excellent_quality,pos_very_accomodating,pos_well_packaged,pos_item_shipped_immediately,pos_will_order_again,neg_defective,neg_did_not_receive_item,neg_damaged_packaging,neg_will_not_order_again,neg_rude_seller,neg_item_shipped_late,neg_item_different_from_picture
5614304188,3989776179,360379308,c*****4,"It took exactly 18 days to be delivered. Local delivery hub is so lousy! Anyway, the blouse is very nice & perfectly fits me. Worth the price. Highly recommended! 👍👍👍",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5596048793,3989776179,360379308,p*****z,"Tbh I super love it! Medyo natagalan lang yung delivery but worth to wait naman hehe sakto lang siya sakin (5'5 height, 50 kg)",5,0,0,1,1,0,1,1,0,0,0,0,0,0,0
5407286702,3989776179,360379308,bhea_10,Sobrang ganda po nung quality ng damit at kasyang kasya po talaga sa akin 😍🥰. I'm so happy because it's really worth to paid. We received the item after 5-7 days since its overseas. I highly recommend this shop! 🥰. Ang laki po ng discount. Thank you so much seller and sa delivery man! 😍🥰,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0
5225160310,3989776179,360379308,w*****6,Worth to buy this tops. Thank you so much shoppee.,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5149684250,3989776179,360379308,r*****a,Good quality. What you see is what you get. Thanks seller ☺️,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5649170283,3989776179,360379308,l*****a,,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5529787746,3989776179,360379308,misskateeeey,Napaganda 😍 Definitely will order again. Thank you seller.,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5653189271,3989776179,360379308,d*****n,"The product is nice. What you see is what you get. I just don't like how long it took my parcel to arrive because I waited for about three weeks or at max a month for it to be delivered. Nonetheless, I recommend this shop since I really like the top. Thank you!",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5719136516,3989776179,360379308,lynlynanncabilin,Maganda po ung tela nya at npka mura po,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5659343667,3989776179,360379308,elahmae25,Cutieeeee. Maganda tela,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5658915570,3989776179,360379308,m*****4,,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5749137910,3989776179,360379308,j2g249h8fw,Grabe napaka ganda at tama yung size🤩🤩🤩at dahil dyan 5star yan.,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5750324972,3989776179,360379308,r*****i,Very nice po talaga i love it ❤️ thank you po seller,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5704632896,3989776179,360379308,a0pjdzta70,"Supper Nice, thank you so much shoppee and seller.",5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5636996667,3989776179,360379308,monica.sacayan,Ganda hindi ako nag sisi,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5667161222,3989776179,360379308,b*****l,Nice,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0
5640845375,3989776179,360379308,bunnyssa4,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5624652020,3989776179,360379308,anjdavid1997,Maganda naman,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5548195904,3989776179,360379308,jacquelynvegasabalboro,Ang ganda ng qualityn niya super ang ganda ganda medjo.matagal lang dunating pero worth it talaga napaka ganda thank you seller,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5597016867,3989776179,360379308,mh82771bvj,,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5634781957,3989776179,360379308,m*****s,Very nice in actual. Worth it for the price.,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5623857161,3989776179,360379308,kimberlyongcobicoy143,Nice quality,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5512895306,3989776179,360379308,c*****o,Complete orders. The blouses are so cute and good to wear. 😍😍😍 Excellent quality of materials used. Worth to buy. Kudos to the seller. Will order again. Thanks! 😘,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5537795845,3989776179,360379308,kennedywaraenyanatibernal,Super Ganda kasyang kasya talaga,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5563026559,3989776179,360379308,jhoannasalvebordeos,Super ganda!!!! Will surely buy next time!,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5540905398,3989776179,360379308,yg_net,Napakaganda ng tela ^ _ h Aba!Bumili ka na dzai,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5567332850,3989776179,360379308,rochellegangoso,received wrong item😤,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5539724841,3989776179,360379308,blossomcj,Goods lahat. Thanks..,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5368504580,3989776179,360379308,paulabianca16,"Super pretty!!! 🤩❤️ Received these after 2 weeks pero worth the wait and its price. Sakto din yung size sakin, im 5’4 in height. I will buy again 👍",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
