shopid,name,join_month,join_day,join_year,item_count,follower_count,response_time,response_rate,shop_location,rating_bad,rating_good,rating_normal,rating_star,is_shopee_verified,is_official_shop
153144594,atendaoffical .ph,June,4,2019,80,865, 20:11:37,12,,18,221,13,4.53,0,0
389517614,99 peso boutique,February,18,2021,178,9819, 10:45:39,72,"San Nicolas,Metro Manila",122,4338,323,4.69,1,0
389973330,loveflower--Fashion women's,February,19,2021,1126,23688, 09:49:49,99,,60,4455,138,4.83,1,0
444774728,Sweet Seventeen,May,16,2021,16,72, 13:59:49,97,"Paranaque City,Metro Manila",0,11,1,4.75,0,0
472232144,QN Street Fashion,June,22,2021,98,1006, 09:36:51,93,"Santa Cruz,Metro Manila",0,162,6,4.86,0,0
405182515,dress dress.ph,March,17,2021,265,6817, 11:00:14,90,,48,983,84,4.61,1,0
457382190,Personality women's clothings,June,2,2021,728,218, 09:29:54,73,,0,13,1,4.79,0,0
149205620,TAlSEN ,May,21,2019,227,21720, 11:05:34,72,"Tondo I / Ii,Metro Manila",37,1028,63,4.69,0,0
483117715,Tongtong/Fashion/Women's cloth,July,7,2021,882,7, 08:24:59,100,,0,1,0,5.0,0,0
36637203,Engle OnlineShop,September,29,2017,163,132961, 10:37:32,70,"San Nicolas,Metro Manila",2730,69017,5965,4.61,1,0
417317962,MEIMEITALL,April,5,2021,526,3596, 09:56:58,85,,17,1690,77,4.82,1,0
279482621,MROSE Fashion Store,June,29,2020,393,1201, 08:42:28,68,,11,788,33,4.81,0,0
38991357,Fantasyshoppe,October,16,2017,423,47230, 11:26:57,87,"Binondo,Metro Manila",710,38969,1301,4.81,0,0
178686678,mychicpickshp,September,12,2019,258,12293, 09:52:50,90,"Paranaque City,Metro Manila",9,2080,37,4.9,1,0
449754824,Beauty girl clothing store,May,23,2021,273,2030, 09:47:52,88,,7,257,22,4.65,1,0
40841188,XiaoZhaiNv Women's clothing,October,30,2017,1785,121674, 08:55:28,100,,342,35620,1072,4.84,1,0
61697017,IRON SILHOUETTE,March,21,2018,170,207476, 08:52:35,96,"San Juan City,Metro Manila",476,61580,1872,4.86,1,0
304021783,amyleerui123.ph,September,2,2020,294,16381, 09:20:13,99,,79,1630,163,4.54,1,0
347488706,X.Y fashion,November,30,2020,517,4589, 09:50:55,96,,61,1912,138,4.64,1,0
